revenue,expenses,profit,year,month,day,company,date
1756,2419,-663,1995,11,3,xyz,2024-11-03
7188,6391,797,1995,11,4,xyz,2024-11-04
6668,2166,4502,1995,11,5,xyz,2024-11-05
6976,520,6456,1995,11,6,xyz,2024-11-06
2986,9745,-6759,1995,11,7,xyz,2024-11-07
7366,4223,3143,1995,11,8,xyz,2024-11-08
8003,8800,-797,1995,11,9,xyz,2024-11-09
1782,4128,-2346,1995,11,10,xyz,2024-11-10
7875,918,6957,1995,11,11,xyz,2024-11-11
8249,5879,2370,1995,11,12,xyz,2024-11-12
3864,8262,-4398,1995,11,13,xyz,2024-11-13
1472,7807,-6335,1995,11,14,xyz,2024-11-14
4728,3928,800,1995,11,15,xyz,2024-11-15
8907,826,8081,1995,11,16,xyz,2024-11-16
7444,7353,91,1995,11,17,xyz,2024-11-17
9404,7040,2364,1995,11,18,xyz,2024-11-18
7777,8202,-425,1995,11,19,xyz,2024-11-19
6584,4252,2332,1995,11,20,xyz,2024-11-20
2888,6814,-3926,1995,11,21,xyz,2024-11-21
8088,3514,4574,1995,11,22,xyz,2024-11-22
6165,6593,-428,1995,11,23,xyz,2024-11-23
2538,3002,-464,1995,11,24,xyz,2024-11-24
5865,1313,4552,1995,11,25,xyz,2024-11-25
1465,9380,-7915,1995,11,26,xyz,2024-11-26
3300,5360,-2060,1995,11,27,xyz,2024-11-27
3862,3725,137,1995,11,28,xyz,2024-11-28
6925,8936,-2011,1995,11,29,xyz,2024-11-29
4296,9474,-5178,1995,11,30,xyz,2024-11-30
1408,8415,-7007,1995,12,1,xyz,2024-12-01
9739,9578,161,1995,12,2,xyz,2024-12-02
4530,5019,-489,1995,12,3,xyz,2024-12-03
4453,1084,3369,1995,12,4,xyz,2024-12-04
1657,7736,-6079,1995,12,5,xyz,2024-12-05
7632,1859,5773,1995,12,6,xyz,2024-12-06
4277,7632,-3355,1995,12,7,xyz,2024-12-07
1321,7061,-5740,1995,12,8,xyz,2024-12-08
6326,6407,-81,1995,12,9,xyz,2024-12-09
7360,2291,5069,1995,12,10,xyz,2024-12-10
2935,1359,1576,1995,12,11,xyz,2024-12-11
2411,9027,-6616,1995,12,12,xyz,2024-12-12
8966,6248,2718,1995,12,13,xyz,2024-12-13
2504,1517,987,1995,12,14,xyz,2024-12-14
1568,581,987,1995,12,15,xyz,2024-12-15
3869,7058,-3189,1995,12,16,xyz,2024-12-16
5164,2919,2245,1995,12,17,xyz,2024-12-17
5277,7694,-2417,1995,12,18,xyz,2024-12-18
5042,5831,-789,1995,12,19,xyz,2024-12-19
6915,9633,-2718,1995,12,20,xyz,2024-12-20
9095,5446,3649,1995,12,21,xyz,2024-12-21
1100,7969,-6869,1995,12,22,xyz,2024-12-22
4011,3069,942,1995,12,23,xyz,2024-12-23
9422,8973,449,1995,12,24,xyz,2024-12-24
8595,1441,7154,1995,12,25,xyz,2024-12-25
8108,6806,1302,1995,12,26,xyz,2024-12-26
8030,6009,2021,1995,12,27,xyz,2024-12-27
2599,2863,-264,1995,12,28,xyz,2024-12-28
2971,5558,-2587,1995,12,29,xyz,2024-12-29
1584,7072,-5488,1995,12,30,xyz,2024-12-30
4984,5810,-826,1995,12,31,xyz,2024-12-31
3396,1331,2065,1996,1,1,xyz,2025-01-01
5074,3477,1597,1996,1,2,xyz,2025-01-02
7202,7298,-96,1996,1,3,xyz,2025-01-03
7086,1647,5439,1996,1,4,xyz,2025-01-04
7923,2444,5479,1996,1,5,xyz,2025-01-05
3156,2801,355,1996,1,6,xyz,2025-01-06
9724,1242,8482,1996,1,7,xyz,2025-01-07
5663,6299,-636,1996,1,8,xyz,2025-01-08
6974,3354,3620,1996,1,9,xyz,2025-01-09
3821,6121,-2300,1996,1,10,xyz,2025-01-10
6006,5393,613,1996,1,11,xyz,2025-01-11
9561,2300,7261,1996,1,12,xyz,2025-01-12
7802,5019,2783,1996,1,13,xyz,2025-01-13
9010,5190,3820,1996,1,14,xyz,2025-01-14
8059,679,7380,1996,1,15,xyz,2025-01-15
3467,3317,150,1996,1,16,xyz,2025-01-16
6592,3592,3000,1996,1,17,xyz,2025-01-17
2100,1122,978,1996,1,18,xyz,2025-01-18
7985,1915,6070,1996,1,19,xyz,2025-01-19
9912,7273,2639,1996,1,20,xyz,2025-01-20
7429,6385,1044,1996,1,21,xyz,2025-01-21
3636,8724,-5088,1996,1,22,xyz,2025-01-22
3787,3289,498,1996,1,23,xyz,2025-01-23
8996,2444,6552,1996,1,24,xyz,2025-01-24
7186,6481,705,1996,1,25,xyz,2025-01-25
2407,1730,677,1996,1,26,xyz,2025-01-26
3282,1514,1768,1996,1,27,xyz,2025-01-27
7038,6420,618,1996,1,28,xyz,2025-01-28
8868,6245,2623,1996,1,29,xyz,2025-01-29
9233,1809,7424,1996,1,30,xyz,2025-01-30
8773,4477,4296,1996,1,31,xyz,2025-01-31
8626,5929,2697,1996,2,1,xyz,2025-02-01
5373,5432,-59,1996,2,2,xyz,2025-02-02
6951,5351,1600,1996,2,3,xyz,2025-02-03
9909,6095,3814,1996,2,4,xyz,2025-02-04
4434,2130,2304,1996,2,5,xyz,2025-02-05
3362,1336,2026,1996,2,6,xyz,2025-02-06
4489,8202,-3713,1996,2,7,xyz,2025-02-07
3587,9752,-6165,1996,2,8,xyz,2025-02-08
5529,7937,-2408,1996,2,9,xyz,2025-02-09
2200,2378,-178,1996,2,10,xyz,2025-02-10
8885,2273,6612,1996,2,11,xyz,2025-02-11
8483,3746,4737,1996,2,12,xyz,2025-02-12
1493,3314,-1821,1996,2,13,xyz,2025-02-13
4312,4430,-118,1996,2,14,xyz,2025-02-14
7138,8297,-1159,1996,2,15,xyz,2025-02-15
3561,2471,1090,1996,2,16,xyz,2025-02-16
4958,2735,2223,1996,2,17,xyz,2025-02-17
4444,1661,2783,1996,2,18,xyz,2025-02-18
5786,6258,-472,1996,2,19,xyz,2025-02-19
8315,1750,6565,1996,2,20,xyz,2025-02-20
8272,1432,6840,1996,2,21,xyz,2025-02-21
9214,7795,1419,1996,2,22,xyz,2025-02-22
9471,4914,4557,1996,2,23,xyz,2025-02-23
9563,6045,3518,1996,2,24,xyz,2025-02-24
2049,9530,-7481,1996,2,25,xyz,2025-02-25
6813,9825,-3012,1996,2,26,xyz,2025-02-26
2635,4656,-2021,1996,2,27,xyz,2025-02-27
2988,2083,905,1996,2,28,xyz,2025-02-28
8960,7518,1442,1996,3,1,xyz,2025-03-01
2082,6471,-4389,1996,3,2,xyz,2025-03-02
8550,6104,2446,1996,3,3,xyz,2025-03-03
3420,9433,-6013,1996,3,4,xyz,2025-03-04
9747,3443,6304,1996,3,5,xyz,2025-03-05
7319,5189,2130,1996,3,6,xyz,2025-03-06
9885,682,9203,1996,3,7,xyz,2025-03-07
4926,9149,-4223,1996,3,8,xyz,2025-03-08
4884,7883,-2999,1996,3,9,xyz,2025-03-09
5533,1557,3976,1996,3,10,xyz,2025-03-10
8598,6340,2258,1996,3,11,xyz,2025-03-11
6194,8937,-2743,1996,3,12,xyz,2025-03-12
3658,514,3144,1996,3,13,xyz,2025-03-13
1367,3620,-2253,1996,3,14,xyz,2025-03-14
7165,2703,4462,1996,3,15,xyz,2025-03-15
8411,3908,4503,1996,3,16,xyz,2025-03-16
6330,4490,1840,1996,3,17,xyz,2025-03-17
6533,8817,-2284,1996,3,18,xyz,2025-03-18
8474,679,7795,1996,3,19,xyz,2025-03-19
2346,7096,-4750,1996,3,20,xyz,2025-03-20
7126,9672,-2546,1996,3,21,xyz,2025-03-21
6227,6517,-290,1996,3,22,xyz,2025-03-22
7811,2069,5742,1996,3,23,xyz,2025-03-23
7584,2724,4860,1996,3,24,xyz,2025-03-24
4763,2186,2577,1996,3,25,xyz,2025-03-25
8375,8598,-223,1996,3,26,xyz,2025-03-26
3126,9251,-6125,1996,3,27,xyz,2025-03-27
3595,5356,-1761,1996,3,28,xyz,2025-03-28
1530,4751,-3221,1996,3,29,xyz,2025-03-29
2101,1432,669,1996,3,30,xyz,2025-03-30
7132,5985,1147,1996,3,31,xyz,2025-03-31
1729,2352,-623,1996,4,1,xyz,2025-04-01
4259,9957,-5698,1996,4,2,xyz,2025-04-02
4065,3628,437,1996,4,3,xyz,2025-04-03
1838,6348,-4510,1996,4,4,xyz,2025-04-04
4284,8779,-4495,1996,4,5,xyz,2025-04-05
2848,9109,-6261,1996,4,6,xyz,2025-04-06
2721,5616,-2895,1996,4,7,xyz,2025-04-07
1846,6369,-4523,1996,4,8,xyz,2025-04-08
5295,2189,3106,1996,4,9,xyz,2025-04-09
7101,2009,5092,1996,4,10,xyz,2025-04-10
4158,4705,-547,1996,4,11,xyz,2025-04-11
6586,3656,2930,1996,4,12,xyz,2025-04-12
3990,729,3261,1996,4,13,xyz,2025-04-13
4696,7930,-3234,1996,4,14,xyz,2025-04-14
2879,8419,-5540,1996,4,15,xyz,2025-04-15
9245,2145,7100,1996,4,16,xyz,2025-04-16
1994,3579,-1585,1996,4,17,xyz,2025-04-17
6156,529,5627,1996,4,18,xyz,2025-04-18
7259,9550,-2291,1996,4,19,xyz,2025-04-19
7552,2869,4683,1996,4,20,xyz,2025-04-20
3412,1958,1454,1996,4,21,xyz,2025-04-21
7149,8192,-1043,1996,4,22,xyz,2025-04-22
6334,2983,3351,1996,4,23,xyz,2025-04-23
4154,7386,-3232,1996,4,24,xyz,2025-04-24
2623,9555,-6932,1996,4,25,xyz,2025-04-25
9018,6844,2174,1996,4,26,xyz,2025-04-26
8330,4774,3556,1996,4,27,xyz,2025-04-27
8906,8861,45,1996,4,28,xyz,2025-04-28
7175,2988,4187,1996,4,29,xyz,2025-04-29
3409,3794,-385,1996,4,30,xyz,2025-04-30
3104,7663,-4559,1996,5,1,xyz,2025-05-01
9498,4132,5366,1996,5,2,xyz,2025-05-02
3031,646,2385,1996,5,3,xyz,2025-05-03
7220,2620,4600,1996,5,4,xyz,2025-05-04
9423,2429,6994,1996,5,5,xyz,2025-05-05
5479,4575,904,1996,5,6,xyz,2025-05-06
9462,6877,2585,1996,5,7,xyz,2025-05-07
6179,5315,864,1996,5,8,xyz,2025-05-08
2638,3441,-803,1996,5,9,xyz,2025-05-09
9321,6225,3096,1996,5,10,xyz,2025-05-10
2563,1785,778,1996,5,11,xyz,2025-05-11
1143,8604,-7461,1996,5,12,xyz,2025-05-12
4455,1269,3186,1996,5,13,xyz,2025-05-13
7422,5622,1800,1996,5,14,xyz,2025-05-14
4295,5899,-1604,1996,5,15,xyz,2025-05-15
9468,6049,3419,1996,5,16,xyz,2025-05-16
4137,5951,-1814,1996,5,17,xyz,2025-05-17
7523,6916,607,1996,5,18,xyz,2025-05-18
7964,3644,4320,1996,5,19,xyz,2025-05-19
1411,5386,-3975,1996,5,20,xyz,2025-05-20
4368,9447,-5079,1996,5,21,xyz,2025-05-21
3313,6673,-3360,1996,5,22,xyz,2025-05-22
5633,5929,-296,1996,5,23,xyz,2025-05-23
9133,9223,-90,1996,5,24,xyz,2025-05-24
2287,7702,-5415,1996,5,25,xyz,2025-05-25
5257,6289,-1032,1996,5,26,xyz,2025-05-26
8205,6567,1638,1996,5,27,xyz,2025-05-27
4584,8727,-4143,1996,5,28,xyz,2025-05-28
3310,3790,-480,1996,5,29,xyz,2025-05-29
5963,8741,-2778,1996,5,30,xyz,2025-05-30
5900,3072,2828,1996,5,31,xyz,2025-05-31
2401,2166,235,1996,6,1,xyz,2025-06-01
9057,1958,7099,1996,6,2,xyz,2025-06-02
7077,2980,4097,1996,6,3,xyz,2025-06-03
3736,6272,-2536,1996,6,4,xyz,2025-06-04
1505,1529,-24,1996,6,5,xyz,2025-06-05
2178,4867,-2689,1996,6,6,xyz,2025-06-06
7947,9358,-1411,1996,6,7,xyz,2025-06-07
7863,9909,-2046,1996,6,8,xyz,2025-06-08
8169,1234,6935,1996,6,9,xyz,2025-06-09
2538,501,2037,1996,6,10,xyz,2025-06-10
3634,2785,849,1996,6,11,xyz,2025-06-11
1698,1072,626,1996,6,12,xyz,2025-06-12
6628,3298,3330,1996,6,13,xyz,2025-06-13
5016,9139,-4123,1996,6,14,xyz,2025-06-14
5355,7146,-1791,1996,6,15,xyz,2025-06-15
7485,8794,-1309,1996,6,16,xyz,2025-06-16
1470,1508,-38,1996,6,17,xyz,2025-06-17
8775,9738,-963,1996,6,18,xyz,2025-06-18
9969,1607,8362,1996,6,19,xyz,2025-06-19
2766,780,1986,1996,6,20,xyz,2025-06-20
3558,585,2973,1996,6,21,xyz,2025-06-21
3207,7116,-3909,1996,6,22,xyz,2025-06-22
8478,5898,2580,1996,6,23,xyz,2025-06-23
3552,9313,-5761,1996,6,24,xyz,2025-06-24
8460,1802,6658,1996,6,25,xyz,2025-06-25
7436,4349,3087,1996,6,26,xyz,2025-06-26
1457,7836,-6379,1996,6,27,xyz,2025-06-27
6032,7608,-1576,1996,6,28,xyz,2025-06-28
1413,1587,-174,1996,6,29,xyz,2025-06-29
7936,8708,-772,1996,6,30,xyz,2025-06-30
4365,6659,-2294,1996,7,1,xyz,2025-07-01
1841,6198,-4357,1996,7,2,xyz,2025-07-02
5003,5193,-190,1996,7,3,xyz,2025-07-03
2536,6967,-4431,1996,7,4,xyz,2025-07-04
6458,4957,1501,1996,7,5,xyz,2025-07-05
6568,4294,2274,1996,7,6,xyz,2025-07-06
3397,2185,1212,1996,7,7,xyz,2025-07-07
2283,6118,-3835,1996,7,8,xyz,2025-07-08
9889,9509,380,1996,7,9,xyz,2025-07-09
2765,5144,-2379,1996,7,10,xyz,2025-07-10
2639,3221,-582,1996,7,11,xyz,2025-07-11
5712,2844,2868,1996,7,12,xyz,2025-07-12
5984,9416,-3432,1996,7,13,xyz,2025-07-13
3759,6636,-2877,1996,7,14,xyz,2025-07-14
7451,7194,257,1996,7,15,xyz,2025-07-15
3997,3215,782,1996,7,16,xyz,2025-07-16
8033,5595,2438,1996,7,17,xyz,2025-07-17
5445,8972,-3527,1996,7,18,xyz,2025-07-18
1256,4636,-3380,1996,7,19,xyz,2025-07-19
1569,1013,556,1996,7,20,xyz,2025-07-20
2844,2576,268,1996,7,21,xyz,2025-07-21
7573,3995,3578,1996,7,22,xyz,2025-07-22
2315,7513,-5198,1996,7,23,xyz,2025-07-23
6571,5134,1437,1996,7,24,xyz,2025-07-24
3337,3853,-516,1996,7,25,xyz,2025-07-25
3979,4895,-916,1996,7,26,xyz,2025-07-26
5367,8604,-3237,1996,7,27,xyz,2025-07-27
2169,9489,-7320,1996,7,28,xyz,2025-07-28
1644,1140,504,1996,7,29,xyz,2025-07-29
4763,6367,-1604,1996,7,30,xyz,2025-07-30
5855,2854,3001,1996,7,31,xyz,2025-07-31
2703,6621,-3918,1996,8,1,xyz,2025-08-01
6139,7561,-1422,1996,8,2,xyz,2025-08-02
2887,8259,-5372,1996,8,3,xyz,2025-08-03
1174,4532,-3358,1996,8,4,xyz,2025-08-04
2561,8579,-6018,1996,8,5,xyz,2025-08-05
1943,680,1263,1996,8,6,xyz,2025-08-06
5042,4876,166,1996,8,7,xyz,2025-08-07
3210,7868,-4658,1996,8,8,xyz,2025-08-08
6046,7458,-1412,1996,8,9,xyz,2025-08-09
4315,652,3663,1996,8,10,xyz,2025-08-10
7391,834,6557,1996,8,11,xyz,2025-08-11
5684,8087,-2403,1996,8,12,xyz,2025-08-12
4660,4006,654,1996,8,13,xyz,2025-08-13
8794,8114,680,1996,8,14,xyz,2025-08-14
1309,7455,-6146,1996,8,15,xyz,2025-08-15
1160,4092,-2932,1996,8,16,xyz,2025-08-16
5386,1005,4381,1996,8,17,xyz,2025-08-17
2924,6543,-3619,1996,8,18,xyz,2025-08-18
8778,9144,-366,1996,8,19,xyz,2025-08-19
3075,2219,856,1996,8,20,xyz,2025-08-20
4758,6961,-2203,1996,8,21,xyz,2025-08-21
9491,5292,4199,1996,8,22,xyz,2025-08-22
8483,5270,3213,1996,8,23,xyz,2025-08-23
3284,6950,-3666,1996,8,24,xyz,2025-08-24
6670,4190,2480,1996,8,25,xyz,2025-08-25
7403,2619,4784,1996,8,26,xyz,2025-08-26
7766,4929,2837,1996,8,27,xyz,2025-08-27
2455,8847,-6392,1996,8,28,xyz,2025-08-28
2262,1188,1074,1996,8,29,xyz,2025-08-29
5917,9352,-3435,1996,8,30,xyz,2025-08-30
1416,5607,-4191,1996,8,31,xyz,2025-08-31
8930,1456,7474,1996,9,1,xyz,2025-09-01
3809,7231,-3422,1996,9,2,xyz,2025-09-02
8612,6770,1842,1996,9,3,xyz,2025-09-03
4412,9938,-5526,1996,9,4,xyz,2025-09-04
5720,4311,1409,1996,9,5,xyz,2025-09-05
6294,5351,943,1996,9,6,xyz,2025-09-06
4303,8059,-3756,1996,9,7,xyz,2025-09-07
9633,1653,7980,1996,9,8,xyz,2025-09-08
6399,8442,-2043,1996,9,9,xyz,2025-09-09
8693,6886,1807,1996,9,10,xyz,2025-09-10
6795,2336,4459,1996,9,11,xyz,2025-09-11
6171,4597,1574,1996,9,12,xyz,2025-09-12
6100,7965,-1865,1996,9,13,xyz,2025-09-13
8051,994,7057,1996,9,14,xyz,2025-09-14
8307,4637,3670,1996,9,15,xyz,2025-09-15
1777,3825,-2048,1996,9,16,xyz,2025-09-16
2627,9877,-7250,1996,9,17,xyz,2025-09-17
6828,2422,4406,1996,9,18,xyz,2025-09-18
2483,3649,-1166,1996,9,19,xyz,2025-09-19
6525,5309,1216,1996,9,20,xyz,2025-09-20
6411,1327,5084,1996,9,21,xyz,2025-09-21
2989,1828,1161,1996,9,22,xyz,2025-09-22
3477,5932,-2455,1996,9,23,xyz,2025-09-23
6165,2321,3844,1996,9,24,xyz,2025-09-24
1160,3726,-2566,1996,9,25,xyz,2025-09-25
1478,5516,-4038,1996,9,26,xyz,2025-09-26
8023,3259,4764,1996,9,27,xyz,2025-09-27
9044,4933,4111,1996,9,28,xyz,2025-09-28
7448,7764,-316,1996,9,29,xyz,2025-09-29
5646,7996,-2350,1996,9,30,xyz,2025-09-30
7953,3368,4585,1996,10,1,xyz,2025-10-01
4861,9612,-4751,1996,10,2,xyz,2025-10-02
5256,3128,2128,1996,10,3,xyz,2025-10-03
5265,3325,1940,1996,10,4,xyz,2025-10-04
5098,2878,2220,1996,10,5,xyz,2025-10-05
5586,3006,2580,1996,10,6,xyz,2025-10-06
2152,8824,-6672,1996,10,7,xyz,2025-10-07
7491,1645,5846,1996,10,8,xyz,2025-10-08
2342,8469,-6127,1996,10,9,xyz,2025-10-09
4849,5494,-645,1996,10,10,xyz,2025-10-10
9702,6574,3128,1996,10,11,xyz,2025-10-11
4752,7090,-2338,1996,10,12,xyz,2025-10-12
8977,6670,2307,1996,10,13,xyz,2025-10-13
3513,3844,-331,1996,10,14,xyz,2025-10-14
6131,1839,4292,1996,10,15,xyz,2025-10-15
3079,3084,-5,1996,10,16,xyz,2025-10-16
5732,9296,-3564,1996,10,17,xyz,2025-10-17
1139,2848,-1709,1996,10,18,xyz,2025-10-18
6255,911,5344,1996,10,19,xyz,2025-10-19
2588,7896,-5308,1996,10,20,xyz,2025-10-20
3917,9457,-5540,1996,10,21,xyz,2025-10-21
5579,7686,-2107,1996,10,22,xyz,2025-10-22
2002,2511,-509,1996,10,23,xyz,2025-10-23
4014,9420,-5406,1996,10,24,xyz,2025-10-24
6310,1002,5308,1996,10,25,xyz,2025-10-25
6944,1320,5624,1996,10,26,xyz,2025-10-26
8284,9508,-1224,1996,10,27,xyz,2025-10-27
7119,9989,-2870,1996,10,28,xyz,2025-10-28
9131,4184,4947,1996,10,29,xyz,2025-10-29
2320,6657,-4337,1996,10,30,xyz,2025-10-30
5412,1454,3958,1996,10,31,xyz,2025-10-31
2249,3785,-1536,1996,11,1,xyz,2025-11-01
7463,4981,2482,1996,11,2,xyz,2025-11-02
1239,6822,-5583,1996,11,3,xyz,2025-11-03
8701,5946,2755,1996,11,4,xyz,2025-11-04
1578,1413,165,1996,11,5,xyz,2025-11-05
5294,6748,-1454,1996,11,6,xyz,2025-11-06
1348,656,692,1996,11,7,xyz,2025-11-07
7623,1372,6251,1996,11,8,xyz,2025-11-08
6214,5226,988,1996,11,9,xyz,2025-11-09
8311,6021,2290,1996,11,10,xyz,2025-11-10
8781,3989,4792,1996,11,11,xyz,2025-11-11
3962,3606,356,1996,11,12,xyz,2025-11-12
9935,7148,2787,1996,11,13,xyz,2025-11-13
9984,3980,6004,1996,11,14,xyz,2025-11-14
7298,8909,-1611,1996,11,15,xyz,2025-11-15
5783,7266,-1483,1996,11,16,xyz,2025-11-16
3849,4637,-788,1996,11,17,xyz,2025-11-17
4216,2873,1343,1996,11,18,xyz,2025-11-18
7162,3397,3765,1996,11,19,xyz,2025-11-19
6312,7623,-1311,1996,11,20,xyz,2025-11-20
3523,5888,-2365,1996,11,21,xyz,2025-11-21
1808,1725,83,1996,11,22,xyz,2025-11-22
3941,6886,-2945,1996,11,23,xyz,2025-11-23
5856,3859,1997,1996,11,24,xyz,2025-11-24
6052,7936,-1884,1996,11,25,xyz,2025-11-25
8851,7442,1409,1996,11,26,xyz,2025-11-26
4651,2827,1824,1996,11,27,xyz,2025-11-27
8902,5544,3358,1996,11,28,xyz,2025-11-28
1764,3646,-1882,1996,11,29,xyz,2025-11-29
8036,8459,-423,1996,11,30,xyz,2025-11-30
4445,961,3484,1996,12,1,xyz,2025-12-01
7335,4505,2830,1996,12,2,xyz,2025-12-02
3206,1161,2045,1996,12,3,xyz,2025-12-03
9413,3060,6353,1996,12,4,xyz,2025-12-04
2325,3707,-1382,1996,12,5,xyz,2025-12-05
5074,2102,2972,1996,12,6,xyz,2025-12-06
3788,4204,-416,1996,12,7,xyz,2025-12-07
3072,2789,283,1996,12,8,xyz,2025-12-08
7297,1060,6237,1996,12,9,xyz,2025-12-09
8327,6123,2204,1996,12,10,xyz,2025-12-10
9900,6001,3899,1996,12,11,xyz,2025-12-11
7771,9550,-1779,1996,12,12,xyz,2025-12-12
3565,1730,1835,1996,12,13,xyz,2025-12-13
4623,3382,1241,1996,12,14,xyz,2025-12-14
7871,9256,-1385,1996,12,15,xyz,2025-12-15
9380,3084,6296,1996,12,16,xyz,2025-12-16
4909,4508,401,1996,12,17,xyz,2025-12-17
3891,9556,-5665,1996,12,18,xyz,2025-12-18
7658,6437,1221,1996,12,19,xyz,2025-12-19
4706,5633,-927,1996,12,20,xyz,2025-12-20
3361,4234,-873,1996,12,21,xyz,2025-12-21
3350,7694,-4344,1996,12,22,xyz,2025-12-22
9837,3883,5954,1996,12,23,xyz,2025-12-23
2532,3415,-883,1996,12,24,xyz,2025-12-24
1113,4535,-3422,1996,12,25,xyz,2025-12-25
8127,1287,6840,1996,12,26,xyz,2025-12-26
9440,2604,6836,1996,12,27,xyz,2025-12-27
5995,9056,-3061,1996,12,28,xyz,2025-12-28
1623,4761,-3138,1996,12,29,xyz,2025-12-29
7401,6434,967,1996,12,30,xyz,2025-12-30
2700,3397,-697,1996,12,31,xyz,2025-12-31
1293,2681,-1388,1997,1,1,xyz,2026-01-01
8623,5781,2842,1997,1,2,xyz,2026-01-02
6684,2907,3777,1997,1,3,xyz,2026-01-03
7401,6492,909,1997,1,4,xyz,2026-01-04
6527,1535,4992,1997,1,5,xyz,2026-01-05
9573,2560,7013,1997,1,6,xyz,2026-01-06
6703,4034,2669,1997,1,7,xyz,2026-01-07
5116,1761,3355,1997,1,8,xyz,2026-01-08
7447,8086,-639,1997,1,9,xyz,2026-01-09
2201,4269,-2068,1997,1,10,xyz,2026-01-10
7903,1116,6787,1997,1,11,xyz,2026-01-11
3646,7727,-4081,1997,1,12,xyz,2026-01-12
1034,1472,-438,1997,1,13,xyz,2026-01-13
3823,8898,-5075,1997,1,14,xyz,2026-01-14
1754,3930,-2176,1997,1,15,xyz,2026-01-15
6850,3053,3797,1997,1,16,xyz,2026-01-16
7476,5834,1642,1997,1,17,xyz,2026-01-17
6233,9802,-3569,1997,1,18,xyz,2026-01-18
8599,9531,-932,1997,1,19,xyz,2026-01-19
1824,9828,-8004,1997,1,20,xyz,2026-01-20
3182,3592,-410,1997,1,21,xyz,2026-01-21
3597,8759,-5162,1997,1,22,xyz,2026-01-22
5779,1503,4276,1997,1,23,xyz,2026-01-23
6521,5550,971,1997,1,24,xyz,2026-01-24
4634,9534,-4900,1997,1,25,xyz,2026-01-25
6408,6233,175,1997,1,26,xyz,2026-01-26
4478,2748,1730,1997,1,27,xyz,2026-01-27
4146,2660,1486,1997,1,28,xyz,2026-01-28
7187,4513,2674,1997,1,29,xyz,2026-01-29
4316,8595,-4279,1997,1,30,xyz,2026-01-30
2465,3406,-941,1997,1,31,xyz,2026-01-31
3129,2440,689,1997,2,1,xyz,2026-02-01
5417,2257,3160,1997,2,2,xyz,2026-02-02
8760,5524,3236,1997,2,3,xyz,2026-02-03
2594,2364,230,1997,2,4,xyz,2026-02-04
